year,month,County,BI_mean,BI_max,surveys,cases
2013,4,屏東縣,3.2941081081081083,42.718,148,10
2013,5,屏東縣,6.547445945945946,55.434,148,18
2013,6,屏東縣,9.538822580645162,88.732,124,26
2013,7,屏東縣,4.608752136752138,37.931,117,6
2013,7,高雄市,8.644094488188976,64.0,381,1
2013,8,屏東縣,8.479396396396396,85.046,111,14
2013,8,臺北市,1.5625116279069768,24.0,172,7
2013,8,高雄市,8.996724683544304,72.916,632,1
2013,9,屏東縣,9.174572413793104,44.0,145,68
2013,9,新北市,1.3312528301886792,30.0,265,1
2013,9,高雄市,9.922776422764228,74.0,738,2
2013,10,屏東縣,7.348066666666667,68.421,150,72
2013,10,臺中市,1.6003098591549296,12.0,142,1
2013,10,臺北市,1.7611575342465755,20.0,146,1
2013,10,臺南市,2.9974107424960508,28.0,633,1
2013,10,高雄市,6.614364294330518,44.0,829,7
2013,11,嘉義縣,0.0718079096045197,5.882,177,1
2013,11,屏東縣,5.465687116564418,33.333,163,135
2013,11,臺北市,1.8552045454545456,14.0,88,1
2013,11,臺南市,2.332208450704225,33.333,710,21
2013,11,高雄市,4.786997419354839,31.333,775,32
2013,12,屏東縣,4.289709401709402,31.325,117,126
2013,12,桃園市,0.24,12.0,75,1
2013,12,臺南市,1.992051869722557,16.0,829,6
2013,12,高雄市,4.144023786869648,38.666,1051,21
2014,1,屏東縣,3.837415458937198,23.423,207,8
2014,1,臺南市,0.7794739583333333,13.043,192,3
2014,1,高雄市,4.29688770053476,25.242,187,1
2014,2,屏東縣,4.068339805825243,18.095,103,1
2014,2,臺南市,0.6535426356589148,8.0,258,1
2014,5,高雄市,8.406048265460031,45.17,663,12
2014,6,嘉義市,1.4,8.75,20,1
2014,6,高雄市,8.47019600725953,64.948,551,92
2014,7,屏東縣,10.09889928057554,50.857,278,6
2014,7,新北市,0.7740882352941176,9.375,238,2
2014,7,澎湖縣,2.5487333333333333,10.0,45,2
2014,7,臺南市,3.972990697674419,30.555,645,3
2014,7,高雄市,5.716695700110253,36.842,907,366
2014,8,嘉義市,1.2915833333333333,4.0,24,1
2014,8,屏東縣,8.386218934911243,76.363,169,11
2014,8,新北市,0.6820445344129554,6.0,247,1
2014,8,桃園市,0.9739130434782608,10.0,115,1
2014,8,澎湖縣,4.577258064516129,27.586,31,2
2014,8,臺中市,1.7890381679389311,10.0,131,2
2014,8,臺南市,6.040493006993007,64.0,572,4
2014,8,高雄市,6.533923708920188,49.333,852,937
2014,9,宜蘭縣,0.4996199999999999,8.0,100,1
2014,9,屏東縣,9.935215384615384,65.753,195,28
2014,9,彰化縣,2.0155038759689923,8.0,129,2
2014,9,新北市,0.5915495867768595,10.0,242,1
2014,9,新竹市,1.4285714285714286,16.0,28,1
2014,9,新竹縣,0.4883188405797102,6.0,69,2
2014,9,澎湖縣,1.8392142857142857,8.0,42,2
2014,9,臺中市,1.6383464566929131,7.936,127,2
2014,9,臺北市,1.7857837837837838,19.23,185,3
2014,9,臺南市,5.497601246105919,60.0,642,11
2014,9,臺東縣,1.450409638554217,12.0,83,1
2014,9,苗栗縣,2.706465753424657,8.0,73,1
2014,9,高雄市,5.606744058500914,64.0,1094,2192
2014,10,南投縣,2.0277777777777777,8.0,72,1
2014,10,嘉義市,0.0462962962962962,1.25,27,1
2014,10,嘉義縣,0.3146214953271028,5.769,214,2
2014,10,屏東縣,4.500603305785123,23.926,121,77
2014,10,新北市,0.8517355371900827,11.666,242,8
2014,10,新竹市,1.348258064516129,4.0,31,3
2014,10,桃園市,0.5673758865248227,30.0,141,2
2014,10,澎湖縣,2.3356,12.962,30,5
2014,10,臺中市,1.3648888888888888,4.0,135,3
2014,10,臺北市,1.754843137254902,22.0,204,7
2014,10,臺南市,3.3356824925816024,32.0,674,40
2014,10,臺東縣,1.241525,6.0,80,2
2014,10,苗栗縣,3.3364736842105263,20.0,76,1
2014,10,雲林縣,0.4449512195121951,4.0,82,5
2014,10,高雄市,3.3539548335974643,40.909,1262,5328
2014,11,南投縣,1.6417910447761197,10.0,67,1
2014,11,嘉義市,0.0,0.0,21,3
2014,11,嘉義縣,0.0119440993788819,1.923,161,2
2014,11,屏東縣,3.9546538461538474,41.666,78,62
2014,11,彰化縣,0.9868740157480316,4.0,127,1
2014,11,新北市,0.5000851063829788,5.0,235,3
2014,11,桃園市,0.5909803921568627,18.0,102,2
2014,11,澎湖縣,0.7207368421052631,4.0,19,4
2014,11,臺中市,1.2805,18.0,134,6
2014,11,臺北市,1.9588834951456309,12.0,103,2
2014,11,臺南市,2.731735294117647,64.0,510,76
2014,11,臺東縣,1.2906282051282052,13.888,78,5
2014,11,花蓮縣,0.3679056603773585,6.666,106,1
2014,11,雲林縣,0.35,3.921,79,2
2014,11,高雄市,1.9201387373343728,19.607,1283,4787
2014,12,屏東縣,3.252696428571429,16.0,112,30
2014,12,彰化縣,0.9866666666666668,4.0,75,1
2014,12,新北市,0.4695144927536232,6.0,138,1
2014,12,澎湖縣,0.1851499999999999,3.703,20,1
2014,12,臺中市,0.9578387096774192,5.769,93,2
2014,12,臺北市,1.520170731707317,18.0,82,1
2014,12,臺南市,1.847417699115044,18.0,565,18
2014,12,臺東縣,2.1257866666666665,17.361,75,8
2014,12,高雄市,1.8513189113747384,24.873,1433,1284
2015,1,屏東縣,1.6252191780821916,15.596,73,4
2015,1,臺北市,0.4929215686274509,4.0,51,1
2015,1,臺南市,0.5539483870967742,12.0,155,1
2015,1,臺東縣,1.3634754098360655,11.578,61,4
2015,1,高雄市,2.1786383248730967,44.0,788,70
2015,2,高雄市,1.6358407258064516,28.0,496,10
2015,3,高雄市,2.404737268518519,26.0,864,7
2015,4,高雄市,2.159377379619261,16.0,893,5
2015,5,臺南市,4.289672995780591,39.13,474,3
2015,5,高雄市,3.488210909090909,49.09,825,19
2015,6,新竹縣,0.8013709677419355,13.725,62,3
2015,6,臺南市,4.80278079710145,30.0,552,18
2015,6,高雄市,3.987297435897436,42.0,1170,31
2015,7,嘉義縣,0.1554968944099378,5.769,161,3
2015,7,屏東縣,5.794232044198895,48.0,181,3
2015,7,臺中市,1.837953125,6.0,128,2
2015,7,臺南市,6.060961496149615,38.0,909,298
2015,7,高雄市,5.75116628830874,58.0,1762,29
2015,8,南投縣,1.3076923076923077,6.0,78,1
2015,8,嘉義市,2.155103448275862,16.25,29,1
2015,8,嘉義縣,0.5545192307692308,9.23,416,4
2015,8,基隆市,0.0,0.0,6,2
2015,8,宜蘭縣,0.4275816326530612,8.0,98,2
2015,8,屏東縣,5.548738888888889,54.901,180,16
2015,8,彰化縣,1.2580645161290325,6.0,124,2
2015,8,新北市,0.78396484375,30.0,256,14
2015,8,新竹市,3.699056603773585,16.0,53,3
2015,8,新竹縣,1.1382096774193549,10.0,62,5
2015,8,桃園市,1.5475389221556888,20.0,167,10
2015,8,澎湖縣,2.508833333333333,25.49,36,1
2015,8,臺中市,2.071878787878788,17.142,198,9
2015,8,臺北市,3.544809523809524,46.0,126,3
2015,8,臺南市,3.4895,38.961,696,3946
2015,8,花蓮縣,0.5848962264150943,6.666,106,1
2015,8,苗栗縣,3.3204864864864865,9.756,74,1
2015,8,金門縣,2.0,4.0,6,1
2015,8,雲林縣,0.6321428571428571,6.0,84,1
2015,8,高雄市,5.790355123674911,50.98,1132,438
